Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteConnectionFacts.cs,91,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"var @lock = connection.AcquireDistributedLock(""1"", TimeSpan.FromSeconds(1));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteMonitoringApiFacts.cs,302,16,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,"stateData = new Dictionary<string, string>                  {                      [""ServerId""] = Guid.NewGuid().ToString(),                      [""StartedAt""] = JobHelper.SerializeDateTime(DateTime.UtcNow.Subtract(TimeSpan.FromMilliseconds(500)))                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteMonitoringApiFacts.cs,249,20,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,"var processingState = new State()                      {                          Name = ProcessingState.StateName,                          Reason = null,                          CreatedAt = DateTime.UtcNow,                          Data = JsonConvert.SerializeObject(new Dictionary<string, string>                          {                              [""ServerId""] = Guid.NewGuid().ToString(),                              [""StartedAt""] =                              JobHelper.SerializeDateTime(DateTime.UtcNow.Subtract(TimeSpan.FromMilliseconds(500)))                          })                      };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteJobQueueFacts.cs,324,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,var source = new CancellationTokenSource(TimeSpan.FromSeconds(10));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,287,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,mre.Wait(TimeSpan.FromSeconds(10));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,270,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"using var slock = SQLiteDistributedLock.Acquire(""resource1"", TimeSpan.FromSeconds(10), database, new SQLiteStorageOptions                  {                      DistributedLockLifetime = TimeSpan.FromSeconds(14)                  });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,270,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"using var slock = SQLiteDistributedLock.Acquire(""resource1"", TimeSpan.FromSeconds(10), database, new SQLiteStorageOptions                  {                      DistributedLockLifetime = TimeSpan.FromSeconds(14)                  });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,258,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"var result = await WaitForHeartBeat(slock, TimeSpan.FromSeconds(3));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,254,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"using var slock = SQLiteDistributedLock.Acquire(""resource1"", TimeSpan.FromSeconds(10), database, new SQLiteStorageOptions                  {                      DistributedLockLifetime = TimeSpan.FromSeconds(3)                  });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,254,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"using var slock = SQLiteDistributedLock.Acquire(""resource1"", TimeSpan.FromSeconds(10), database, new SQLiteStorageOptions                  {                      DistributedLockLifetime = TimeSpan.FromSeconds(3)                  });"
